AARDVARKS,AARDVARK(South African) a nocturnal
UNMONEYED,without moneyalso UNMONIED [adj]
UNMOORING,UNMOORto release from moorings [v]
UNMORALLY,UNMORALlacking a sense of right and wrong [adv]
UNMORTISE,to release from mortise [v UNMORTISEDUNMORTISING
UNMOTIVED,without a motive [adj]
UNMOULDED,UNMOULDto change the form of; to reduce from any form
UNMOUNTED,UNMOUNTto dismount [v]
UNMOURNED,not mourned [adj]
UNMOVABLE,that cannot be movedalso UNMOVEABLE [adj UNMOVABLY]
UNMOVABLY,UNMOVABLEthat cannot be moved
UNMOVEDLY,UNMOVEDnot moved [adv]
UNMUFFLED,UNMUFFLEto free from something that muffles [v]
UNMUFFLES,UNMUFFLEto free from something that muffles [v]
UNMUSICAL,not musical [adj UNMUSICALLY]
UNMUZZLED,UNMUZZLEto remove a muzzle from [v]
UNMUZZLES,UNMUZZLEto remove a muzzle from [v]
UNNAILING,UNNAILto remove the nails from [v]
UNNAMABLE,not capable of being namedalso UNNAMEABLE [adj]
UNNATIVED,UNNATIVEto no longer be a native or inhabitant of a place or country [v]
UNNATIVES,UNNATIVEto no longer be a native or inhabitant of a place or country [v]
UNNATURAL,not natural [adj UNNATURALLY]
UNNEEDFUL,not needful [adj UNNEEDFULLY]
UNNERVING,UNNERVEto deprive of courage [v]
UNNESTING,UNNESTto turn out of a nest [v]
UNNOBLING,UNNOBLEto deprive of nobility [v]
UNNOISIER,UNNOISYnot noisy [adj]
UNNOTICED,not noticed [adj]
UNNUANCED,not nuanced [adj]
UNOBVIOUS,not obvious [adj]
UNOFFERED,not offered [adj]
UNOPPOSED,not opposed [adj]
UNORDERED,UNORDERto countermand [v]
UNORDERLY,not orderly [adj]
UNPACKERS,UNPACKERone that unpacks [n]
UNPACKING,the act of unpacking [n -S]
UNPAINFUL,not painful [adj]
UNPAINTED,UNPAINTto remove the paint from [v]
UNPALSIED,not palsied [adj]
UNPANNELS,UNPANNELto unsaddle
UNPAPERED,UNPAPERto remove paper from [v]
UNPARTIAL,impartial [adj]
UNPATCHED,not patched [adj]
UNPAYABLE,that cannot be payed [adj]
UNPEGGING,UNPEGto remove the pegs from [v]
UNPENNIED,without pennies [adj]
UNPENNING,UNPENto release from confinement [v]
UNPEOPLED,UNPEOPLEto remove people from [v]
UNPEOPLES,UNPEOPLEto remove people from [v]
UNPERCHED,UNPERCHto drive from a perch [v]
UNPERCHES,UNPERCHto drive from a perch [v]
UNPERFECT,not perfectalso IMPERFECT [adj UNPERFECTLY]
UNPERPLEX,to free from perplexity [v -ED-ING
UNPERSONS,UNPERSONto make someone into an unperson [v]
UNPERVERT,to free from perversion [v -ED-ING
UNPICKING,UNPICKto remove the stitches from [v]
UNPIERCED,not pierced [adj]
UNPILOTED,not piloted [adj]
UNPINNING,UNPINto remove the pins from [v]
UNPITIFUL,not pitiful [adj UNPITIFULLY]
UNPITYING,not pitying [adj UNPITYINGLY]
UNPLACING,UNPLACEto displace [v]
UNPLAGUED,not plagued [adj]
UNPLAINED,(Spenser) not lamented [adj]
UNPLAITED,UNPLAITto undo the plaits of [v]
UNPLANKED,not fitted with planks [adj]
UNPLANNED,not planned [adj]
UNPLANTED,not planted [adj]
UNPLEASED,not pleased [adj]
UNPLEATED,not pleated [adj]
UNPLEDGED,not pledged [adj]
UNPLIABLE,not pliable [adj UNPLIABLY]
UNPLIABLY,UNPLIABLEnot pliable [adv]
UNPLUCKED,not plucked [adj]
UNPLUGGED,UNPLUGto take a plug out [v]
UNPLUMBED,UNPLUMBto remove lead from [v]
UNPLUMING,UNPLUMEto strip of feathers [v]
UNPOINTED,not pointed [adj]
UNPOISONS,UNPOISONto rid of poison [v]
UNPOLICED,not policed [adj]
UNPOLITIC,not politicalso IMPOLITIC
UNPOPULAR,not popular [adj UNPOPULARLY]
UNPOTABLE,not potableundrinkable [adj]
UNPOWERED,not powered [adj]
UNPRAISED,UNPRAISEto deprive of praise [v]
UNPRAISES,UNPRAISEto deprive of praise [v]
UNPRAYING,UNPRAYto revoke the praying of [v]
UNPRECISE,not precisealso IMPRECISE [adj]
UNPREDICT,(Milton) to retract or falsify a previous prediction [v -ED-ING
UNPREPARE,to make unprepared [v UNPREPAREDUNPREPARING
UNPRESSED,not pressed [adj]
UNPRIESTS,UNPRIESTto divest of priesthood [v]
UNPRINTED,not printed [adj]
UNPRISONS,UNPRISONto release from prison [v]
UNPROPPED,UNPROPto remove the props from [v]
UNPROVIDE,(Shakespeare) to deprive of necessary provision [v UNPROVIDEDUNPROVIDING
UNPROVOKE,(Shakespeare) to counteract the provocation of [v UNPROVOKEDUNPROVOKING
UNPUCKERS,UNPUCKERto remove the wrinkles from [v]
UNPURSING,UNPURSEto relax the lips from a pursed state [v]
UNPURSUED,not pursued [adj]
UNPUZZLED,UNPUZZLEto work out the obscured meaning of [v]
UNPUZZLES,UNPUZZLEto work out the obscured meaning of [v]
UNQUAKING,not quaking [adj]
UNQUALIFY,to disqualify; to unfit [v UNQUALIFIEDUNQUALIFYING
UNQUEENED,UNQUEENto deprive of a queen [v]
UNQUEENLY,not queenly [adj UNQUEENLIERUNQUEENLIEST]
UNQUELLED,not quelled [adj]
UNQUIETED,UNQUIETto disturb [v]
UNQUIETER,UNQUIETnot quiet
UNQUIETLY,UNQUIETnot quiet
UNQUOTING,UNQUOTEto close a quotation [v]
UNRAVAGED,not ravaged [adj]
UNRAVELED,UNRAVELto separate the threads of [v]
UNRAZORED,not shaven [adj]
UNREACHED,not reached [adj]
UNREADIER,UNREADYnot ready
UNREADILY,UNREADYnot ready
UNREALISE,to divest of realityalso UNREALIZE [v UNREALISED
UNREALISM,lack of realism [n -S]
UNREALITY,the state of being unreal [n UNREALITIES]
UNREALIZE,to divest of realityalso UNREALISE [v UNREALIZED
UNREASONS,UNREASONto disrupt the sanity of [v]
UNREAVING,UNREAVEto unwind; to disentangle [v]
UNREBATED,not subject to a rebate [adj]
UNREBUKED,not rebuked [adj]
UNREDREST,not redressedwithout compensation [adj]
UNREDUCED,not reduced [adj]
UNREELERS,UNREELERone who unreels [n]
UNREELING,UNREELto unwind from a reel [v]
UNREEVING,UNREEVEto withdraw a rope from an opening [v]
UNREFINED,not refined [adj]
UNREFUTED,not refuted [adj]
UNREINING,UNREINto give rein to [v]
UNRELATED,not related [adj]
UNRELAXED,not relaxed [adj]
UNREMOVED,not removed [adj]
UNRENEWED,not renewed [adj]
UNREPAIRS,UNREPAIRa lack of repair [n]
UNRESERVE,absence of reservefrankness [n -S]
UNRESTFUL,not restful [adj]
UNRESTING,not resting [adj UNRESTINGLY]
UNRETIRED,UNRETIREto return to work after having taken retirement [v]
UNRETIRES,UNRETIREto return to work after having taken retirement [v]
UNREVISED,not revised [adj]
UNREVOKED,not revoked [adj]
UNRIDABLE,that cannot be riddenalso UNRIDEABLE [adj]
UNRIDDLED,UNRIDDLEto work out a riddle [v]
UNRIDDLER,one who unriddles [n -S]
UNRIDDLES,UNRIDDLEto work out a riddle [v]
UNRIGGING,UNRIGto divest of rigging [v]
UNRIGHTED,UNRIGHTto wrong or to make wrong [v]
UNRIPENED,not ripened [adj]
UNRIPPING,the act of unripping [n -S]
UNRIVALED,without a rivalalso UNRIVALLED [adj]
UNRIVETED,UNRIVETto take out
UNROASTED,not roasted [adj]
UNROLLING,UNROLLto open something that is rolled up [v]
UNROOFING,UNROOFto remove the roof [v]
UNROOSTED,UNROOST(Shakespeare) to drive from a roost [v]
UNROOTING,UNROOTto tear up by the roots [v]
UNROSINED,not coated with rosin [adj]
UNROUNDED,UNROUNDto articulate without rounding the lips [v]
UNROYALLY,UNROYALnot royal [adv]
UNRUFFLED,UNRUFFLEto recover from ruffling [v]
UNRUFFLES,UNRUFFLEto recover from ruffling [v]
UNRULIEST,UNRULYdifficult to control [adj]
UNRUMPLED,not rumpled [adj]
UNSADDLED,UNSADDLEto remove the saddle from [v]
UNSADDLES,UNSADDLEto remove the saddle from [v]
UNSAINTED,UNSAINTto divest of saintliness [v]
UNSAINTLY,not like a saint [adj UNSAINTLIERUNSAINTLIEST]
UNSALABLE,that cannot be soldalso UNSALEABLE [adj UNSALABLY]
UNSALABLY,UNSALABLEthat cannot be sold
UNSALUTED,not saluted [adj]
UNSAMPLED,not sampled [adj]
UNSATABLE,that cannot be sated [adj]
UNSATIATE,not satiatedalso UNSATIATED [adj]
UNSAVOURY,not savouryalso UNSAVORY [adj UNSAVOURIER
UNSAYABLE,that cannot be said [adj] / something that cannot be said [n -S]
UNSCALING,UNSCALEto remove the scales from [v]
UNSCANNED,not scanned as verse [adj]
UNSCARIER,UNSCARYnot scary [adj]
UNSCARRED,not scarred [adj]
UNSCATHED,not scathed [adj]
UNSCENTED,not scented [adj]
UNSCOURED,not scoured [adj]
UNSCREWED,UNSCREWto remove the screws from [v]
UNSCYTHED,not scythed [adj]
UNSEALING,UNSEALto break the seal of [v]
UNSEAMING,UNSEAMto open the seams of [v]
UNSEASONS,UNSEASON(Spenser) to affect disagreeably [v]
UNSEATING,UNSEATto remove from a seat [v]
UNSECRETS,UNSECRET(Shakespeare) to inform or make aware [v]
UNSECULAR,not secular [adj]
UNSECURED,not secured [adj]
UNSEDUCED,not seduced [adj]
UNSEEABLE,that cannot be seen [adj]
UNSEELING,UNSEELto unstitch a hawk's eyelids [v]
UNSEEMING,(Shakespeare) a not seeming [n -S]
UNSELFING,UNSELFto deprive of the self [v]
UNSELFISH,not selfish [adj UNSELFISHLY]
UNSELLING,UNSELLto speak disparagingly about [v]
UNSENSING,UNSENSEto deprive of sense [v]
UNSERIOUS,not serious [adj]
UNSETTING,UNSETto undo the setting of [v]
UNSETTLED,UNSETTLEto make unstable [v]
UNSETTLES,UNSETTLEto make unstable [v]
UNSEVERED,not severed [adj]
UNSEXIEST,UNSEXYnot sexy [adj]
UNSHACKLE,to release from shackles [v UNSHACKLEDUNSHACKLING
UNSHADOWS,UNSHADOWto remove from shadow
UNSHALING,UNSHALEto strip the shale
UNSHAPELY,not shapely [adj UNSHAPELIERUNSHAPELIEST]
UNSHAPING,UNSHAPEto deprive of shape
UNSHEATHE,to remove from a sheath [v UNSHEATHEDUNSHEATHING
UNSHELLED,UNSHELLto strip the shell from; to take out of the shell
UNSHIFTED,UNSHIFTto release the shift key on a typewriter [v]
UNSHIPPED,UNSHIPto unload from a ship [v]
UNSHIRTED,not wearing a shirt [adj]
UNSHOCKED,not shocked [adj]
UNSHOEING,UNSHOEto strip of shoes [v]
UNSHOOTED,UNSHOOT(Shakespeare) to revoke the shouting of by a contrary shout
UNSHOTTED,UNSHOTto remove shot from [v]
UNSHOUTED,UNSHOUTto make a contrary shout
UNSHOWIER,UNSHOWYnot showy [adj]
UNSHRIVED,not shrivenalso UNSHRIVEN [adj]
UNSHRIVEN,not shrivenalso UNSHRIVED [adj]
UNSHROUDS,UNSHROUDto remove the shroud from; to uncover [v]
UNSHUNNED,not shunned [adj]
UNSHUTTER,to open or remove the shutters of [v -ED-ING
UNSICKLED,not cut with a sickle [adj]
UNSIGHING,not sighing [adj]
UNSIGHTED,UNSIGHTto prevent from seeing [v]
UNSIGHTLY,unpleasant to look at [adj UNSIGHTLIERUNSIGHTLIEST]
UNSIMILAR,not similar [adj]
UNSINEWED,UNSINEWto take the strength from [v]
UNSISTING,(Shakespeare) variously explained as unassistingunresisting
UNSIZABLE,(obsolete) extraordinarily bigalso UNSIZEABLE [adj]
UNSKILFUL,not skilfulalso UNSKILLFUL [adj UNSKILFULLY]
UNSKILLED,not skilled [adj]
UNSKIMMED,not skimmed e.g. of milk [adj]
UNSKINNED,not skinned [adj]
UNSLUICED,UNSLUICEto let flow [v]
UNSLUICES,UNSLUICEto let flow [v]
UNSMILING,not smiling [adj UNSMILINGLY]
UNSMITTEN,not smittenalso UNSMOTE [adj]
UNSMOOTHS,UNSMOOTHto make not smooth [v]
UNSNAGGED,UNSNAGto free of snags [v]
UNSNAPPED,UNSNAPto undo the snaps of [v]
UNSNARLED,UNSNARLto disentangle [v]
UNSNECKED,UNSNECKto undo the sneck of [v]
UNSNUFFED,not snuffed [adj]
UNSOBERED,UNSOBERto make unregulated or unrefined in manners [v]
UNSOBERLY,UNSOBERnot sober [adv]
UNSOCKETS,UNSOCKETto take out of the socket [v]
UNSOLACED,not solaced [adj]
UNSOLDERS,UNSOLDERto separate from being soldered [v]
UNSOLIDLY,UNSOLIDnot solid [adv]
UNSONSIER,UNSONSY(Scots) unlucky
UNSOOTHED,not soothed [adj]
UNSOULING,UNSOULto deprive of spirit [v]
UNSOUNDED,not sounded [adj]
UNSOUNDER,UNSOUNDnot sound [adj]
UNSOUNDLY,UNSOUNDnot sound [adv]
UNSOURCED,having no (authenticated) source [adj]
UNSPARING,not sparing [adj UNSPARINGLY]
UNSPARRED,UNSPARto withdraw a spa from [v]
UNSPELLED,UNSPELLto free from a spell [v]
UNSPHERED,UNSPHEREto remove from a sphere [v]
UNSPHERES,UNSPHEREto remove from a sphere [v]
UNSPILLED,not spilledalso UNSPILT [adj]
UNSPOILED,not spoiledalso UNSPOILT [adj]
UNSPOOLED,UNSPOOLto unwind from a small cylinder [v]
UNSPOTTED,not spotted; free from spot or stain [adj]
UNSPRAYED,not sprayede.g. of crops [adj]
UNSQUARED,not squared [adj]
UNSTABLER,UNSTABLEnot stable
UNSTACKED,UNSTACKto remove from a stack [v]
UNSTAINED,not stained [adj]
UNSTALKED,not having a stalk [adj]
UNSTAMPED,not stamped [adj]
UNSTARRED,not starred [adj]
UNSTATING,UNSTATE(Shakespeare) to deprive of state or dignity [v]
UNSTAYING,not staying [adj]
UNSTEELED,UNSTEELto disarm; to soften [v]
UNSTEMMED,not stemmed [adj]
UNSTEPPED,UNSTEPto remove from a socket [v]
UNSTERILE,not sterile [adj]
UNSTIFFEN,to make not stiff [v -ED-ING
UNSTIFLED,not stifled [adj]
UNSTILLED,not stilled [adj]
UNSTINTED,not stinted [adj]
UNSTIRRED,not stirred [adj]
UNSTOCKED,UNSTOCKto deplete of stock [v]
UNSTOPPED,UNSTOPto remove a stopper from [v]
UNSTOPPER,to take the stopper from [v -ED-ING
UNSTOWING,UNSTOWto empty of contents [v]
UNSTRINGS,UNSTRINGto remove from a string [v]
UNSTRIPED,not striped [adj]
UNSTUDIED,not studied [adj]
UNSTUFFED,not stuffedalso UNSTUFT [adj]
UNSTYLISH,not stylish [adj]
UNSUBDUED,not subdued [adj]
UNSUBJECT,to remove from subjugation [v -ED-ING
UNSUBTLER,UNSUBTLEnot subtle [adj]
UNSUCCESS,lack of successfailure [n -ES]
UNSUITING,UNSUITto make unsuitable [v]
UNSULLIED,not sullied [adj]
UNSUNNIER,UNSUNNYnot sunny [adj]
UNSUSPECT,(Milton) not subject to suspicion [adj]
UNSWADDLE,to take a swaddle from; to unswathe [v UNSWADDLEDUNSWADDLING
UNSWATHED,UNSWATHEto unbind
UNSWATHES,UNSWATHEto unbind
UNSWOLLEN,not swollen [adj]
UNTACKING,UNTACKto remove a tack from [v]
UNTACKLED,UNTACKLEto free from tackle [v]
UNTACKLES,UNTACKLEto free from tackle [v]
UNTACTFUL,not tactful [adj]
UNTAINTED,not tainted [adj UNTAINTEDLY]
UNTAMABLE,not tamablealso UNTAMEABLE [adj UNTAMABLY]
UNTAMABLY,UNTAMABLEnot tamable
UNTANGLED,UNTANGLEto free from tangles [v]
UNTANGLES,UNTANGLEto free from tangles [v]
UNTAXABLE,not taxable [adj]
UNTEACHES,UNTEACHto cause to unlearn something [v]
UNTEAMING,UNTEAMto unyoke a team from [v]
UNTEMPERS,UNTEMPERto destroy the temper of [v]
UNTEMPTED,not tempted [adj]
UNTENABLE,not tenablealso INTENABLE
UNTENABLY,UNTENABLEnot tenable
UNTENANTS,UNTENANTto deprive of a tenant [v]
UNTENTIER,UNTENTY(Scots) careless [adj]
UNTENTING,UNTENTto remove from a tent [v]
UNTENURED,not having tenure [adj]
UNTETHERS,UNTETHERto free from a tether [v]
UNTHANKED,not thanked [adj]
UNTHAWING,UNTHAWto cause to melt [v]
UNTHOUGHT,UNTHINKto dismiss from the mind [v]
UNTHREADS,UNTHREADto remove the thread from [v]
UNTHRIFTS,UNTHRIFTa spendthrift [n]
UNTHRIFTY,not thrifty [adj UNTHRIFTIERUNTHRIFTIEST
UNTHRONED,UNTHRONEto remove from a throne [v]
UNTHRONES,UNTHRONEto remove from a throne [v]
UNTIDIEST,UNTIDYnot tidy [adj]
UNTIDYING,UNTIDYto make untidy [v]
UNTIMEOUS,untimely [adj UNTIMEOUSLY]
UNTINNING,UNTINto take the tin from [v]
UNTIRABLE,that cannot be tired outalso UNTYREABLE [adj]
UNTOILING,not toiling [adj]
UNTOMBING,UNTOMBto remove from a tomb [v]
UNTOOTHED,not toothed [adj]
UNTOUCHED,not touched [adj]
UNTRACING,UNTRACEto loose from traces [v]
UNTRACKED,UNTRACKto remove from a track
UNTRAINED,not trained [adj]
UNTRAPPED,not trapped [adj]
UNTREADED,UNTREAD(Shakespeare) to tread back; to retrace [v]
UNTREATED,not treated [adj]
UNTRESSED,not tied up in tresses [adj]
UNTRIMMED,UNTRIMto strip of trimming [v]
UNTRODDEN,UNTREAD(Shakespeare) to tread back; to retrace [v]
UNTRUISMS,UNTRUISMuntrue platitude [n]
UNTRUSSED,UNTRUSSto free from a truss [v]
UNTRUSSER,one who untrussed persons for the purpose of flogging them; a public whipper [n -S]
UNTRUSSES,UNTRUSSto free from a truss [v]
UNTRUSTED,not trusted [adj]
UNTUCKING,UNTUCKto release from being tucked up [v]
UNTUMBLED,not tumbled [adj]
UNTUNABLE,that cannot be tunedalso UNTUNEABLE [adj UNTUNABLY]
UNTUNABLY,UNTUNABLEthat cannot be tuned
UNTUNEFUL,not tuneful [adj UNTUNEFULLY]
UNTURFING,UNTURFto strip of turf [v]
UNTURNING,UNTURNto turn backwards [v]
UNTUTORED,not tutored [adj]
UNTWILLED,not twilled [adj]
UNTWINING,UNTWINEto separate twisted or tangled parts [v]
UNTWISTED,UNTWISTto untwine [v]
UNTYPABLE,that cannot be typed [adj]
UNTYPICAL,not typical [adj UNTYPICALLY]
UNUNBIUMS,UNUNBIUMa synthetic chemical element [n]
UNUNUNIUM,a chemical element [n -S]
UNUSHERED,not ushered [adj]
UNUSUALLY,UNUSUALnot usual [adv]
UNUTTERED,not uttered [adj]
UNVAILING,UNVAILE(obsolete) to unveil
UNVARYING,not varying [adj UNVARYINGLY]
UNVEILERS,UNVEILERone who removes a veil [n]
UNVEILING,the act of unveiling [n -S]
UNVIRTUES,UNVIRTUElack of virtue [n]
UNVISITED,not visited [adj]
UNVISORED,UNVISORto open the visor of
UNVIZARDS,UNVIZARDto open the visor of
UNVOICING,change to a voiceless sound [n -S]
UNWAISTED,not waisted [adj]
UNWAKENED,not wakenedalso UNWAKED [adj]
UNWARIEST,UNWARIE(Spenser) unwary [adj]
UNWARLIKE,not warlike [adj]
UNWASHEDS,UNWASHED(colloquial) the lower classes [n]
UNWASTING,not wasting [adj]
UNWATCHED,not watched [adj]
UNWATERED,UNWATERto drain
UNWEAPONS,UNWEAPONto disarm [v]
UNWEARIED,not wearied [adj UNWEARIEDLY]
UNWEARIER,UNWEARYnot weary [adj]
UNWEARIES,UNWEARYto cause weariness to cease [v]
UNWEAVING,UNWEAVEto undo something woven [v]
UNWEETING,(archaic) unwitting [adj UNWEETINGLY]
UNWEIGHED,not weighed; not pondered or considered; asan unweighed statement [adj]
UNWEIGHTS,UNWEIGHTto reduce the weight of [v]
UNWELCOME,not welcome [adj UNWELCOMELY]
UNWHIPPED,not whippedalso UNWHIPT [adj]
UNWIELDLY,unwieldyalso UNWELDY
UNWILLING,not willing [adj UNWILLINGLY]
UNWINDERS,UNWINDERone who unwinds [n]
UNWINDING,the act of unwinding [n -S]
UNWINKING,not winking [adj UNWINKINGLY]
UNWISDOMS,UNWISDOMlack of wisdom [n]
UNWISHFUL,not wishful [adj]
UNWISHING,UNWISH(Shakespeare) to wish not to be [v]
UNWITCHED,UNWITCHto free from witchcraft [v]
UNWITCHES,UNWITCHto free from witchcraft [v]
UNWITTIER,UNWITTYnot witty [adj]
UNWITTILY,UNWITTYnot witty [adv]
UNWITTING,without knowledgealso UNWEETING [adj UNWITTINGLY]
UNWOMANED,UNWOMANto make unwomanly [v]
UNWOMANLY,not proper to a woman [adj UNWOMANLIERUNWOMANLIEST]
UNWORKING,UNWORKto undo or destroy
UNWORLDLY,not belonging to this world [adj UNWORLDLIERUNWORLDLIEST]
UNWORRIED,not worried [adj]
UNWOUNDED,not wounded [adj]
UNWRAPPED,UNWRAPto remove the wrapping of [v]
UNWREAKED,not wreaked [adj]
UNWREATHE,to take out of a wreathed condition [v UNWREATHEDUNWREATHING
UNWRINKLE,to reduce from a wrinkled state [v UNWRINKLEDUNWRINKLING
UNWRITING,UNWRITEto undo the writing of [v]
UNWRITTEN,UNWRITEto undo the writing of [v]
UNWROUGHT,UNWORKto undo or destroy
UNYIELDED,not yielded [adj]
UNZEALOUS,not zealous [adj]
UNZIPPING,UNZIPto open the zipper of [v]
UPAITHRIC,roofless; open to the sky (usually intentionallyso as to see the stars)
UPBEARERS,UPBEARERone who bears up [n]
UPBEARING,UPBEARto raise aloft [v]
UPBINDING,UPBINDto bind completely [v]
UPBLOWING,UPBLOWto blow up [v]
UPBOILING,UPBOILto boil up [v]
UPBOUNDEN,UPBINDto bind completely [v]
UPBRAIDED,UPBRAIDto reproach severely
UPBRAIDER,one who upbraids [n -S]
UPBRAYING,UPBRAY(Spenser) to upbraid [v]
UPBROUGHT,UPBRINGto bring up [v]
UPBUILDER,one who upbuilds [n -S]
UPBURNING,flaming upwards [adj]
UPCASTING,UPCASTto cast up [v]
UPCATCHES,UPCATCHto catch up [v]
UPCHEERED,UPCHEERto encourage [v]
UPCHUCKED,UPCHUCKto vomit [v]
UPCLIMBED,UPCLIMBto climb up [v]
UPCLOSING,UPCLOSEto close up [v]
UPCOILING,UPCOILto coil up [v]
UPCOUNTRY,of or in the interior of a country [adj] / the interior of a country [n UPCOUNTRIES]
UPCURLING,UPCURLto curl up [v]
UPCURVING,UPCURVEto curve upward [v]
UPCYCLING,UPCYCLEto recycle waste products into something of higher value than the original materials [v]
UPDARTING,UPDARTto dart up [v]
UPDATABLE,capable of being updatedalso UPDATEABLE [adj]
UPDOMINGS,UPDOMINGthe upward deformation of a rock mass into a dome shape [n]
UPDRAGGED,UPDRAGto drag upward [v]
UPDRAUGHT,an upwards movement of airalso UPDRAFT [n -S]
UPDRAWING,UPDRAWto draw up [v]
UPFILLING,the act of filling up [n -S]
UPFLOWING,UPFLOWto flow up [v]
UPFOLDING,UPFOLDto fold up [v]
UPFOLLOWS,UPFOLLOW(Keats) to follow [v]
UPFURLING,UPFURLto roll up [v]
UPGATHERS,UPGATHERto gather up [v]
UPGIRDING,UPGIRDto gird completely [v]
UPGIRTING,UPGIRTto gird completely
UPGRADERS,UPGRADERone who upgrades [n]
UPGRADING,UPGRADEto raise to a higher standard [v]
UPGROWING,the act of upgrowing [n -S]
UPGROWTHS,UPGROWTHthe process of growing up [n]
UPGUSHING,UPGUSHto gush up [v]
UPHANGING,UPHANGto hang up [v]
UPHAUDING,UPHAUD(Scots) to maintain
UPHEAPING,the act of heaping up [n -S]
UPHEAVALS,UPHEAVALthe act of upheaving [n]
UPHEAVERS,UPHEAVERone who upheaves [n]
UPHEAVING,UPHEAVEto heave up [v]
UPHOARDED,UPHOARDto hoard up
UPHOISTED,UPHOISTto hoist up [v]
UPHOLDERS,UPHOLDERone who upholds [n]
UPHOLDING,the act of upholding [n -S]
UPHOLSTER,to provide with stuffingsprings
UPHOORDED,UPHOORD(Shakespeare) to hoard up [v]
UPHURLING,UPHURLto hurl up [v]
UPJETTING,UPJETto spout up [v]
UPKNITTED,UPKNITto reconcile [v]
UPLANDERS,UPLANDERan inhabitant of an upland [n]
UPLANDISH,(obsolete) rusticrural [adj]
UPLEADING,UPLEADto lead up [v]
UPLEANING,UPLEANto rest one's weight [v]
UPLEAPING,UPLEAPto leap up [v]
UPLIFTERS,UPLIFTERone who uplifts [n]
UPLIFTING,inspiring [adj UPLIFTINGLY] / the act of uplifting [n -S]
UPLIGHTED,UPLIGHTto light to a higher brightness [v]
UPLIGHTER,a light-fitting that throws light upwards [n -S]
UPLINKING,the act of transmitting by uplink [n -S]
UPLOADING,UPLOADto transfer information to a larger computer [v]
UPLOCKING,UPLOCKto lock up [v]
UPLOOKING,UPLOOKto look up [v]
UPMAKINGS,UPMAKINGthe process of making up galley proofs arranged in page mode [n]
UPMANSHIP,the art of gaining some kind of advantage over others [n -S]
UPMARKETS,UPMARKETto make more upmarket
UPPERCASE,in capitals [n -S] / to convert to uppercase [v UPPERCASEDUPPERCASING
UPPERCUTS,UPPERCUTto strike an upward blow [v]
UPPERMOST,in the top positionalso UPMOST [adj]
UPPERPART,the upper part of something [n -S]
UPPITIEST,UPPITYconceited
UPPROPPED,UPPROPto prop up [v]
UPRAISERS,UPRAISERone who upraises [n]
UPRAISING,UPRAISEto raise up [v]
UPREACHED,UPREACHto reach up [v]
UPREACHES,UPREACHto reach up [v]
UPREARING,UPREARto raise; to erect [v]
UPRIGHTED,UPRIGHTto raise or restore to an upright position [v]
UPRIGHTLY,UPRIGHTvertical [adv]
UPRISINGS,UPRISINGa revolt
UPROARING,UPROAR(Shakespeare) to throw into uproar or confusion [v]
UPROLLING,UPROLLto roll upward [v]
UPROOTALS,UPROOTALthe act of uprooting [n]
UPROOTERS,UPROOTERone who uproots [n]
UPROOTING,the act of uprooting [n -S]
UPROUSING,UPROUSEto rouse up [v]
UPRUNNING,UPRUNto run up [v]
UPRUSHING,UPRUSHto rush up [v]
UPSADAISY,an expression of reassurance to someone who has fallen overalso UPADAISY [interj]
UPSCALING,UPSCALEto appeal to wealthy customers [v]
UPSELLING,UPSELLto attempt to persuade a customer to purchase more expensive items
UPSENDING,UPSENDto send upward [v]
UPSETTERS,UPSETTERone who upsets [n]
UPSETTING,causing upset [adj UPSETTINGLY] / overturningoverthrow [n -S]
UPSHIFTED,UPSHIFTto shift an automotive vehicle into a higher gear [v]
UPSITTING,a sitting up of a woman after her confinementto receive and entertain her friends [n -S]
UPSKILLED,UPSKILLto improve a person's skills [v]
UPSOARING,UPSOARto soar upward [v]
UPSPEARED,UPSPEARto shoot up like a spear [v]
UPSPRINGS,UPSPRINGto spring up [v]
UPSTAGERS,UPSTAGERone who upstages [n]
UPSTAGING,UPSTAGEto outdo theatrically [v]
UPSTARING,UPSTAREto stare upward [v]
UPSTARTED,UPSTARTto start up suddenly [v]
UPSTATERS,UPSTATERan inhabitant of an upstate region [n]
UPSTAYING,UPSTAYto sustain [v]
UPSTEPPED,UPSTEPto step up [v]
UPSTIRRED,UPSTIRto stir up [v]
UPSTREAMS,UPSTREAMto stream up [v]
UPSTROKES,UPSTROKEan upward stroke [n]
UPSURGING,UPSURGEto surge up [v]
UPSWARMED,UPSWARM(archaic) to rise or send upwards in a swarm [v]
UPSWAYING,UPSWAYto swing up [v]
UPSWELLED,UPSWELLto swell up [v]
UPSWOLLEN,UPSWELLto swell up [v]
UPTALKING,the practice of speaking with a rising intonation at the end of each statementas if one were asking a question [n -S]
UPTEARING,UPTEARto tear out by the roots [v]
UPTHRUSTS,UPTHRUSTto thrust up [v]
UPTHUNDER,to send up a noise like thunder [v -ED-ING
UPTIGHTER,UPTIGHTtense; straitlaced [adj]
UPTILTING,UPTILTto tilt upward [v]
UPTITLING,the practise of conferring grandiose titles on employees doing relatively menial jobs [n -S]
UPTOSSING,UPTOSSto toss upward [v]
UPTOWNERS,UPTOWNERone who lives uptown [n]
UPTRAINED,UPTRAIN(obsolete) to train up
UPTRILLED,(Coleridge) trilled high [adj]
UPTURNING,the act of turning upwards [n -S]
